No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
1,Aubrey Coleman,U of H,35,1293.0,305,717,.425,51,161,.317,235,319,.737,81,76,85,174,259,90,93,6,896
2,Reggie Holmes,MSU,37,1226.0,226,583,.388,99,278,.356,242,294,.823,74,88,56,102,158,31,57,6,793
3,Donald Sims,ASU,37,1273.0,228,499,.457,123,288,.427,169,184,.918,90,43,9,108,117,84,33,1,754
4,Jimmer Fredette,BYU,34,1059.0,225,491,.458,77,175,.440,224,251,.892,94,36,25,80,105,159,41,5,751
5,Luke Babbitt,UNR,34,1260.0,251,502,.500,42,101,.416,199,217,.917,81,87,70,232,302,72,35,27,743
6,James Anderson,OSU,33,1124.0,226,494,.457,74,217,.341,209,258,.810,78,88,64,130,194,81,46,19,735
7,Jon Scheyer,DUKE,40,1470.0,212,531,.399,110,287,.383,194,221,.878,64,54,30,112,142,193,65,9,728
8,Omar Samhan,SMC,34,1098.0,282,510,.553,0,1,.000,160,220,.727,72,102,118,249,367,34,15,99,724
9,Jordan Crawford,XAV,35,1147.0,260,563,.462,79,202,.391,119,154,.773,85,57,34,132,166,101,47,7,718
10,Robert Glenn,IUPUI,36,1118.0,259,446,.581,5,23,.217,192,254,.756,109,105,74,166,240,62,44,50,715
11,Jacob Pullen,KSU,37,1168.0,201,480,.419,110,278,.396,203,247,.822,93,89,16,80,96,125,67,2,715
12,David Kool,WMY,33,1155.0,221,492,.449,63,176,.358,209,233,.897,73,53,35,100,135,87,58,0,714
13,Kyle Singler,DUKE,40,1438.0,228,550,.415,85,213,.399,166,208,.798,79,86,88,188,276,94,41,31,707
14,Dominique Jones,USF,33,1224.0,222,493,.450,52,167,.311,209,282,.741,98,93,37,164,201,120,56,19,705
15,Landry Fields,SU,32,1160.0,248,506,.490,29,86,.337,179,257,.696,83,65,81,199,280,89,51,25,704
16,LaceDarius Dunn,BU,36,1174.0,231,512,.451,116,276,.420,126,147,.857,91,108,29,143,172,68,49,11,704
17,Charles Jenkins,HOF,34,1234.0,235,531,.443,63,154,.409,169,210,.805,108,89,38,116,154,134,61,19,702
18,Adrian Oliver,SJSU,31,1119.0,230,526,.437,51,125,.408,188,212,.887,99,92,49,115,164,89,30,15,699
19,Devan Downey,USC,31,1055.0,237,592,.400,69,202,.342,156,187,.834,109,72,17,85,102,108,85,1,699
