Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,42,2,541,93,162,.574,0,0,,93,162,.574,.574,47,91,.516,53,101,154,21,15,20,34,63,233
Jaylen Adams,PG,24,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
Steven Adams,C,27,40,40,1108,140,222,.631,0,2,.000,140,220,.636,.631,43,93,.462,161,205,366,80,35,23,62,80,323
Bam Adebayo,C,23,38,38,1279,270,485,.557,2,7,.286,268,478,.561,.559,186,220,.845,89,271,360,204,33,41,108,90,728
LaMarcus Aldridge,C,35,21,18,544,115,248,.464,27,75,.360,88,173,.509,.518,31,37,.838,17,77,94,36,8,18,20,36,288
Ty-Shon Alexander,SG,22,4,0,10,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,1,1,1,0,0,0,1,0
Nickeil Alexander-Walker,SG,22,35,5,657,121,289,.419,46,142,.324,75,147,.510,.498,33,41,.805,9,88,97,66,34,14,45,60,321
Grayson Allen,SG,25,29,17,715,93,223,.417,59,146,.404,34,77,.442,.549,42,47,.894,12,81,93,62,29,5,29,37,287
Jarrett Allen,C,22,43,25,1226,205,320,.641,4,10,.400,201,310,.648,.647,148,208,.712,130,295,425,69,19,73,65,68,562
Al-Farouq Aminu,PF,30,17,14,367,36,89,.404,7,31,.226,29,58,.500,.444,14,17,.824,20,71,91,29,17,9,25,22,93
Kyle Anderson,PF,27,39,39,1061,182,381,.478,53,146,.363,129,235,.549,.547,75,98,.765,31,195,226,129,44,26,54,66,492
Giannis Antetokounmpo,PF,26,41,41,1400,426,762,.559,47,157,.299,379,605,.626,.590,275,406,.677,73,403,476,263,50,53,152,121,1174
Kostas Antetokounmpo,PF,23,5,0,24,2,4,.500,0,0,,2,4,.500,.500,2,4,.500,2,7,9,0,2,3,6,3,6
Thanasis Antetokounmpo,SF,28,31,0,261,30,51,.588,2,9,.222,28,42,.667,.608,7,16,.438,29,32,61,20,9,6,19,36,69
Carmelo Anthony,PF,36,42,3,1080,208,497,.419,75,194,.387,133,303,.439,.494,97,113,.858,23,115,138,71,35,31,43,96,588
Cole Anthony,PG,20,25,17,667,101,269,.375,27,83,.325,74,186,.398,.426,46,55,.836,20,91,111,94,17,11,51,51,275
OG Anunoby,SF,23,26,26,863,135,277,.487,59,144,.410,76,133,.571,.594,43,57,.754,36,113,149,44,45,20,43,74,372
Ryan Arcidiacono,PG,26,26,0,296,30,78,.385,15,47,.319,15,31,.484,.481,11,14,.786,3,39,42,33,7,0,6,30,86
Trevor Ariza,F,35,3,0,49,4,17,.235,2,10,.200,2,7,.286,.294,2,2,1.000,0,10,10,3,1,2,1,3,12
D.J. Augustin,PG,33,40,6,775,76,210,.362,51,140,.364,25,70,.357,.483,40,44,.909,13,44,57,123,23,1,38,36,243
Deni Avdija,SF,20,38,17,836,92,207,.444,38,115,.330,54,92,.587,.536,15,24,.625,15,157,172,46,22,8,28,102,237
Deandre Ayton,C,22,43,43,1312,271,446,.608,4,17,.235,267,429,.622,.612,86,113,.761,141,329,470,66,16,48,72,135,632
Udoka Azubuike,C,21,12,0,49,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,4,9,13,0,1,4,3,8,12
Dwayne Bacon,SG,25,44,26,1095,159,398,.399,44,132,.333,115,266,.432,.455,74,87,.851,12,113,125,49,23,3,30,71,436
Marvin Bagley III,PF,21,37,37,951,209,416,.502,34,96,.354,175,320,.547,.543,61,109,.560,91,184,275,35,18,19,49,90,513
LaMelo Ball,PG,19,41,21,1174,237,526,.451,81,216,.375,156,310,.503,.528,97,123,.789,54,186,240,251,65,14,115,116,652
